kind,route,route_name,shift,direction,day_type,depart,arrive,group_time,stop
stop,,,,,,,,12:00 noon,Marquis
stop,,,,,,,,12:00 noon,Hope
stop,,,,,,,,12:00 noon,Grand Bacolet Junction
stop,,,,,,,,12:00 noon,Corinth
stop,,,,,,,,1:15 p.m.,Red Gate
stop,,,,,,,,1:15 p.m.,Westerhall
stop,,,,,,,,1:15 p.m.,Calivigny
stop,,,,,,,,1:15 p.m.,Gap Gospel Hall
stop,,,,,,,,1:15 p.m.,Upper Woburn
stop,,,,,,,,1:15 p.m.,Lower Woburn
stop,,,,,,,,1:15 p.m.,Grand Anse Valley
stop,,,,,,,,2:00 p.m.,MBIA

trip,3,Tivoli (Eastern Main Road),afternoon,outbound,mon_sat,2:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Melville Street

trip,3,Tivoli (Eastern Main Road),afternoon,outbound,sun_hol,2:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse Valley
stop,,,,,,,,,Lower Woburn
stop,,,,,,,,,Upper Woburn
stop,,,,,,,,,Calivigny
stop,,,,,,,,,Gap Gospel Hall
stop,,,,,,,,,Westerhall
stop,,,,,,,,,Red Gate
stop,,,,,,,,,Corinth
stop,,,,,,,,,Grand Bacolet Junction
stop,,,,,,,,,Hope
stop,,,,,,,,,Marquis
stop,,,,,,,,,Grenville Town
stop,,,,,,,,,Tivoli Junction

trip,3,Tivoli (Eastern Main Road),night,inbound,daily,8:30 p.m.,10:30 p.m.,,
stop,,,,,,,,8:30 p.m.,Tivoli Junction
stop,,,,,,,,8:30 p.m.,Grenville Town
stop,,,,,,,,8:30 p.m.,Marquis
stop,,,,,,,,8:30 p.m.,Hope
stop,,,,,,,,8:30 p.m.,Grand Bacolet Junction
stop,,,,,,,,8:30 p.m.,Corinth
stop,,,,,,,,9:45 p.m.,Red Gate
stop,,,,,,,,9:45 p.m.,Westerhall
stop,,,,,,,,9:45 p.m.,Calivigny
stop,,,,,,,,9:45 p.m.,Gap Gospel Hall
stop,,,,,,,,9:45 p.m.,Upper Woburn
stop,,,,,,,,9:45 p.m.,Lower Woburn
stop,,,,,,,,9:45 p.m.,Grand Anse Valley
stop,,,,,,,,10:30 p.m.,MBIA

trip,3,Tivoli (Eastern Main Road),night,outbound,daily,10:45 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse Valley
stop,,,,,,,,,Lower Woburn
stop,,,,,,,,,Upper Woburn
stop,,,,,,,,,Calivigny
stop,,,,,,,,,Gap Gospel Hall
stop,,,,,,,,,Westerhall
stop,,,,,,,,,Red Gate
stop,,,,,,,,,Corinth
stop,,,,,,,,,Grand Bacolet Junction
stop,,,,,,,,,Hope
stop,,,,,,,,,Marquis
stop,,,,,,,,,Grenville Town
stop,,,,,,,,,Tivoli Junction

trip,4,Town of St. George via Lagoon Road,non_shift,inbound,daily,7:25 a.m.,8:00 a.m.,,
stop,,,,,,,,7:25 a.m.,Melville Street
stop,,,,,,,,7:25 a.m.,Lagoon Road
stop,,,,,,,,7:25 a.m.,Grand Anse
stop,,,,,,,,7:25 a.m.,Sugar Mill Roundabout
stop,,,,,,,,8:00 a.m.,MBIA

trip,4,Town of St. George via Lagoon Road,non_shift,outbound,daily,4:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Sugar Mill Roundabout
stop,,,,,,,,,Grand Anse
stop,,,,,,,,,Melville Street

trip,5,Town of St. George via Woodlands,non_shift,inbound,daily,7:25 a.m.,8:00 a.m.,,
stop,,,,,,,,7:25 a.m.,Melville Street
stop,,,,,,,,7:25 a.m.,Springs
stop,,,,,,,,7:25 a.m.,Woodlands
stop,,,,,,,,8:00 a.m.,MBIA

trip,5,Town of St. George via Woodlands,non_shift,outbound,daily,4:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Sugar Mill Roundabout
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Springs
stop,,,,,,,,,Melville Street

trip,6,Mardigras and Surrounding Areas,morning,inbound,daily,4:30 a.m.,5:30 a.m.,,
stop,,,,,,,,4:30 a.m.,Mardigras
stop,,,,,,,,4:30 a.m.,Antoine Hill
stop,,,,,,,,4:30 a.m.,Predmotempts
stop,,,,,,,,4:30 a.m.,Winsor Forest
stop,,,,,,,,4:30 a.m.,Vincennse
stop,,,,,,,,4:30 a.m.,Toco Bay
stop,,,,,,,,4:30 a.m.,Laura
stop,,,,,,,,4:30 a.m.,Beaton
stop,,,,,,,,4:30 a.m.,St. Paul's Main Rd
stop,,,,,,,,5:00 a.m.,The Bocas
stop,,,,,,,,5:00 a.m.,Morne Jaloux
stop,,,,,,,,5:00 a.m.,Marian
stop,,,,,,,,5:00 a.m.,Calivigny
stop,,,,,,,,5:00 a.m.,Cliff
stop,,,,,,,,5:00 a.m.,Woodlands
stop,,,,,,,,5:00 a.m.,Grand Anse Valley
stop,,,,,,,,5:30 a.m.,MBIA

trip,6,Mardigras and Surrounding Areas,morning,outbound,mon_sat,6:10 a.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Melville Street

trip,6,Mardigras and Surrounding Areas,morning,outbound,sun_hol,6:10 a.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse Valley
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Cliff
stop,,,,,,,,,Calivigny
stop,,,,,,,,,Marian
stop,,,,,,,,,Morne Jaloux
stop,,,,,,,,,The Bocas
stop,,,,,,,,,St. Paul's Main Rd
stop,,,,,,,,,Beaton
stop,,,,,,,,,Laura
stop,,,,,,,,,Toco Bay
stop,,,,,,,,,Vincennse
stop,,,,,,,,,Winsor Forest
stop,,,,,,,,,Predmotempts
stop,,,,,,,,,Antoine Hill
stop,,,,,,,,,Mardigras

trip,6,Mardigras and Surrounding Areas,afternoon,inbound,sun_hol,1:00 p.m.,2:00 p.m.,,
stop,,,,,,,,1:00 p.m.,Mardigras
stop,,,,,,,,1:00 p.m.,Antoine Hill
stop,,,,,,,,1:00 p.m.,Predmotempts
stop,,,,,,,,1:00 p.m.,Winsor Forest
stop,,,,,,,,1:00 p.m.,Vincennse
stop,,,,,,,,1:00 p.m.,Toco Bay
stop,,,,,,,,1:00 p.m.,Laura
stop,,,,,,,,1:00 p.m.,Beaton
stop,,,,,,,,1:00 p.m.,St. Paul's Main Rd
stop,,,,,,,,1:30 p.m.,The Bocas
stop,,,,,,,,1:30 p.m.,Morne Jaloux
stop,,,,,,,,1:30 p.m.,Marian
stop,,,,,,,,1:30 p.m.,Calivigny
stop,,,,,,,,1:30 p.m.,Cliff
stop,,,,,,,,1:30 p.m.,Woodlands
stop,,,,,,,,1:30 p.m.,Grand Anse Valley
stop,,,,,,,,2:00 p.m.,MBIA

trip,6,Mardigras and Surrounding Areas,afternoon,outbound,mon_sat,2:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Melville Street

trip,6,Mardigras and Surrounding Areas,afternoon,outbound,sun_hol,2:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse Valley
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Cliff
stop,,,,,,,,,Calivigny
stop,,,,,,,,,Marian
stop,,,,,,,,,Morne Jaloux
stop,,,,,,,,,The Bocas
stop,,,,,,,,,St. Paul's Main Rd
stop,,,,,,,,,Beaton
stop,,,,,,,,,Laura
stop,,,,,,,,,Toco Bay
stop,,,,,,,,,Vincennse
stop,,,,,,,,,Winsor Forest
stop,,,,,,,,,Predmotempts
stop,,,,,,,,,Antoine Hill
stop,,,,,,,,,Mardigras

trip,6,Mardigras and Surrounding Areas,night,inbound,daily,9:30 p.m.,10:30 p.m.,,
stop,,,,,,,,9:30 p.m.,Mardigras
stop,,,,,,,,9:30 p.m.,Antoine Hill
stop,,,,,,,,9:30 p.m.,Predmotempts
stop,,,,,,,,9:30 p.m.,Winsor Forest
stop,,,,,,,,9:30 p.m.,Vincennse
stop,,,,,,,,9:30 p.m.,Toco Bay
stop,,,,,,,,9:30 p.m.,Laura
stop,,,,,,,,9:30 p.m.,Beaton
stop,,,,,,,,9:30 p.m.,St. Paul's Main Rd
stop,,,,,,,,10:00 p.m.,The Bocas
stop,,,,,,,,10:00 p.m.,Morne Jaloux
stop,,,,,,,,10:00 p.m.,Marian
stop,,,,,,,,10:00 p.m.,Calivigny
stop,,,,,,,,10:00 p.m.,Cliff
stop,,,,,,,,10:00 p.m.,Woodlands
stop,,,,,,,,10:00 p.m.,Grand Anse Valley
stop,,,,,,,,10:30 p.m.,MBIA

trip,6,Mardigras and Surrounding Areas,night,outbound,daily,10:45 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse Valley
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Cliff
stop,,,,,,,,,Calivigny
stop,,,,,,,,,Marian
stop,,,,,,,,,Morne Jaloux
stop,,,,,,,,,The Bocas
stop,,,,,,,,,St. Paul's Main Rd
stop,,,,,,,,,Beaton
stop,,,,,,,,,Laura
stop,,,,,,,,,Toco Bay
stop,,,,,,,,,Vincennse
stop,,,,,,,,,Winsor Forest
stop,,,,,,,,,Predmotempts
stop,,,,,,,,,Antoine Hill
stop,,,,,,,,,Mardigras
